date,discharge_m3d
1942-10-01,464848.5888
1942-10-02,464848.5888
1942-10-03,452615.73120000004
1942-10-04,452615.73120000004
1942-10-05,452615.73120000004
1942-10-06,440382.8736
1942-10-07,428150.016
1942-10-08,428150.016
1942-10-09,403684.3008
1942-10-10,403684.3008
1942-10-11,391451.4432
1942-10-12,391451.4432
1942-10-13,391451.4432
1942-10-14,379218.5856
1942-10-15,379218.5856
1942-10-16,391451.4432
1942-10-17,391451.4432
1942-10-18,391451.4432
1942-10-19,391451.4432
1942-10-20,391451.4432
1942-10-21,379218.5856
1942-10-22,379218.5856
1942-10-23,391451.4432
1942-10-24,379218.5856
1942-10-25,379218.5856
1942-10-26,379218.5856
1942-10-27,379218.5856
1942-10-28,379218.5856
1942-10-29,379218.5856
1942-10-30,391451.4432
1942-10-31,391451.4432
1942-11-01,403684.3008
1942-11-02,415917.1584
1942-11-03,415917.1584
1942-11-04,403684.3008
1942-11-05,403684.3008
1942-11-06,403684.3008
1942-11-07,403684.3008
1942-11-08,391451.4432
1942-11-09,391451.4432
1942-11-10,428150.016
1942-11-11,464848.5888
1942-11-12,477081.4464
1942-11-13,477081.4464
1942-11-14,459955.44576
1942-11-15,459955.44576
1942-11-16,459955.44576
1942-11-17,477081.4464
1942-11-18,477081.4464
1942-11-19,459955.44576
1942-11-20,459955.44576
1942-11-21,459955.44576
1942-11-22,459955.44576
1942-11-23,442829.44512
1942-11-24,442829.44512
1942-11-25,442829.44512
1942-11-26,442829.44512
1942-11-27,442829.44512
1942-11-28,442829.44512
1942-11-29,440382.8736
1942-11-30,440382.8736
1942-12-01,440382.8736
1942-12-02,442829.44512
1942-12-03,428150.016
1942-12-04,428150.016
1942-12-05,428150.016
1942-12-06,428150.016
1942-12-07,428150.016
1942-12-08,428150.016
1942-12-09,442829.44512
1942-12-10,425703.44447999995
1942-12-11,425703.44447999995
1942-12-12,425703.44447999995
1942-12-13,425703.44447999995
1942-12-14,425703.44447999995
1942-12-15,425703.44447999995
1942-12-16,425703.44447999995
1942-12-17,425703.44447999995
1942-12-18,425703.44447999995
1942-12-19,411024.01535999996
1942-12-20,442829.44512
1942-12-21,425703.44447999995
1942-12-22,425703.44447999995
1942-12-23,442829.44512
1942-12-24,428150.016
1942-12-25,415917.1584
1942-12-26,415917.1584
1942-12-27,533352.59136
1942-12-28,611642.88
1942-12-29,526012.8768
1942-12-30,477081.4464
1942-12-31,464848.5888
1943-01-01,440382.8736
1943-01-02,415917.1584
1943-01-03,440382.8736
1943-01-04,442829.44512
1943-01-05,459955.44576
1943-01-06,442829.44512
1943-01-07,403684.3008
1943-01-08,452615.73120000004
1943-01-09,459955.44576
1943-01-10,459955.44576
1943-01-11,459955.44576
1943-01-12,442829.44512
1943-01-13,442829.44512
1943-01-14,425703.44447999995
1943-01-15,442829.44512
1943-01-16,442829.44512
1943-01-17,442829.44512
1943-01-18,425703.44447999995
1943-01-19,381665.15712000005
1943-01-20,337626.86976
1943-01-21,425703.44447999995
1943-01-22,494207.44703999994
1943-01-23,477081.4464
1943-01-24,459955.44576
1943-01-25,459955.44576
1943-01-26,442829.44512
1943-01-27,415917.1584
1943-01-28,440382.8736
1943-01-29,440382.8736
1943-01-30,440382.8736
1943-01-31,440382.8736
1943-02-01,440382.8736
1943-02-02,415917.1584
1943-02-03,415917.1584
1943-02-04,415917.1584
1943-02-05,411024.01535999996
1943-02-06,425703.44447999995
1943-02-07,425703.44447999995
1943-02-08,411024.01535999996
1943-02-09,411024.01535999996
1943-02-10,411024.01535999996
1943-02-11,411024.01535999996
1943-02-12,411024.01535999996
1943-02-13,425703.44447999995
1943-02-14,337626.86976
1943-02-15,442829.44512
1943-02-16,442829.44512
1943-02-17,425703.44447999995
1943-02-18,415917.1584
1943-02-19,425703.44447999995
1943-02-20,477081.4464
1943-02-21,442829.44512
1943-02-22,425703.44447999995
1943-02-23,425703.44447999995
1943-02-24,425703.44447999995
1943-02-25,425703.44447999995
1943-02-26,425703.44447999995
1943-02-27,396344.58624000003
1943-02-28,425703.44447999995
1943-03-01,411024.01535999996
1943-03-02,411024.01535999996
1943-03-03,415917.1584
1943-03-04,415917.1584
1943-03-05,425703.44447999995
1943-03-06,415917.1584
1943-03-07,415917.1584
1943-03-08,415917.1584
1943-03-09,415917.1584
1943-03-10,411024.01535999996
1943-03-11,411024.01535999996
1943-03-12,428150.016
1943-03-13,425703.44447999995
1943-03-14,396344.58624000003
1943-03-15,411024.01535999996
1943-03-16,425703.44447999995
1943-03-17,442829.44512
1943-03-18,425703.44447999995
1943-03-19,425703.44447999995
1943-03-20,411024.01535999996
1943-03-21,411024.01535999996
1943-03-22,411024.01535999996
1943-03-23,411024.01535999996
1943-03-24,411024.01535999996
1943-03-25,442829.44512
1943-03-26,494207.44703999994
1943-03-27,513780.0192
1943-03-28,494207.44703999994
1943-03-29,477081.4464
1943-03-30,494207.44703999994
1943-03-31,616536.02304
1943-04-01,733971.456
1943-04-02,733971.456
1943-04-03,660574.3104
1943-04-04,616536.02304
1943-04-05,638555.16672
1943-04-06,594516.87936
1943-04-07,594516.87936
1943-04-08,594516.87936
1943-04-09,594516.87936
1943-04-10,594516.87936
1943-04-11,594516.87936
1943-04-12,572497.7356799999
1943-04-13,572497.7356799999
1943-04-14,552925.1635200001
1943-04-15,533352.59136
1943-04-16,533352.59136
1943-04-17,533352.59136
1943-04-18,552925.1635200001
1943-04-19,533352.59136
1943-04-20,533352.59136
1943-04-21,513780.0192
1943-04-22,513780.0192
1943-04-23,513780.0192
1943-04-24,494207.44703999994
1943-04-25,513780.0192
1943-04-26,494207.44703999994
1943-04-27,477081.4464
1943-04-28,494207.44703999994
1943-04-29,477081.4464
1943-04-30,513780.0192
1943-05-01,513780.0192
1943-05-02,494207.44703999994
1943-05-03,489314.304
1943-05-04,489314.304
1943-05-05,489314.304
1943-05-06,494207.44703999994
1943-05-07,489314.304
1943-05-08,477081.4464
1943-05-09,459955.44576
1943-05-10,459955.44576
1943-05-11,459955.44576
1943-05-12,459955.44576
1943-05-13,442829.44512
1943-05-14,442829.44512
1943-05-15,425703.44447999995
1943-05-16,442829.44512
1943-05-17,459955.44576
1943-05-18,442829.44512
1943-05-19,442829.44512
1943-05-20,442829.44512
1943-05-21,459955.44576
1943-05-22,442829.44512
1943-05-23,425703.44447999995
1943-05-24,442829.44512
1943-05-25,533352.59136
1943-05-26,533352.59136
1943-05-27,494207.44703999994
1943-05-28,477081.4464
1943-05-29,459955.44576
1943-05-30,459955.44576
1943-05-31,494207.44703999994
1943-06-01,638555.16672
1943-06-02,782902.8864
1943-06-03,758437.1712
1943-06-04,638555.16672
1943-06-05,572497.7356799999
1943-06-06,552925.1635200001
1943-06-07,552925.1635200001
1943-06-08,533352.59136
1943-06-09,513780.0192
1943-06-10,494207.44703999994
1943-06-11,494207.44703999994
1943-06-12,494207.44703999994
1943-06-13,494207.44703999994
1943-06-14,494207.44703999994
1943-06-15,494207.44703999994
1943-06-16,572497.7356799999
1943-06-17,758437.1712
1943-06-18,638555.16672
1943-06-19,552925.1635200001
1943-06-20,513780.0192
1943-06-21,513780.0192
1943-06-22,594516.87936
1943-06-23,572497.7356799999
1943-06-24,533352.59136
1943-06-25,513780.0192
1943-06-26,513780.0192
1943-06-27,513780.0192
1943-06-28,494207.44703999994
1943-06-29,477081.4464
1943-06-30,477081.4464
1943-07-01,477081.4464
1943-07-02,459955.44576
1943-07-03,459955.44576
1943-07-04,513780.0192
1943-07-05,552925.1635200001
1943-07-06,513780.0192
1943-07-07,494207.44703999994
1943-07-08,477081.4464
1943-07-09,459955.44576
1943-07-10,459955.44576
1943-07-11,459955.44576
1943-07-12,477081.4464
1943-07-13,494207.44703999994
1943-07-14,477081.4464
1943-07-15,459955.44576
1943-07-16,459955.44576
1943-07-17,513780.0192
1943-07-18,513780.0192
1943-07-19,477081.4464
1943-07-20,477081.4464
1943-07-21,477081.4464
1943-07-22,477081.4464
1943-07-23,459955.44576
1943-07-24,459955.44576
1943-07-25,459955.44576
1943-07-26,459955.44576
1943-07-27,459955.44576
1943-07-28,459955.44576
1943-07-29,459955.44576
1943-07-30,459955.44576
1943-07-31,459955.44576
1943-08-01,442829.44512
1943-08-02,442829.44512
1943-08-03,442829.44512
1943-08-04,442829.44512
1943-08-05,442829.44512
1943-08-06,442829.44512
1943-08-07,442829.44512
1943-08-08,425703.44447999995
1943-08-09,442829.44512
1943-08-10,494207.44703999994
1943-08-11,459955.44576
1943-08-12,442829.44512
1943-08-13,459955.44576
1943-08-14,459955.44576
1943-08-15,442829.44512
1943-08-16,442829.44512
1943-08-17,442829.44512
1943-08-18,442829.44512
1943-08-19,425703.44447999995
1943-08-20,425703.44447999995
1943-08-21,425703.44447999995
1943-08-22,425703.44447999995
1943-08-23,442829.44512
1943-08-24,442829.44512
1943-08-25,442829.44512
1943-08-26,442829.44512
1943-08-27,442829.44512
1943-08-28,442829.44512
1943-08-29,442829.44512
1943-08-30,442829.44512
1943-08-31,442829.44512
1943-09-01,442829.44512
1943-09-02,442829.44512
1943-09-03,425703.44447999995
1943-09-04,425703.44447999995
1943-09-05,477081.4464
1943-09-06,459955.44576
1943-09-07,442829.44512
1943-09-08,442829.44512
1943-09-09,442829.44512
1943-09-10,442829.44512
1943-09-11,459955.44576
1943-09-12,442829.44512
1943-09-13,442829.44512
1943-09-14,442829.44512
1943-09-15,442829.44512
1943-09-16,442829.44512
1943-09-17,442829.44512
1943-09-18,425703.44447999995
1943-09-19,425703.44447999995
1943-09-20,425703.44447999995
1943-09-21,425703.44447999995
1943-09-22,425703.44447999995
1943-09-23,425703.44447999995
1943-09-24,425703.44447999995
1943-09-25,425703.44447999995
1943-09-26,425703.44447999995
1943-09-27,425703.44447999995
1943-09-28,425703.44447999995
1943-09-29,425703.44447999995
1943-09-30,425703.44447999995
1943-10-01,430596.58752
1943-10-02,425703.44447999995
1943-10-03,430596.58752
1943-10-04,425703.44447999995
1943-10-05,425703.44447999995
1943-10-06,425703.44447999995
1943-10-07,425703.44447999995
1943-10-08,423256.87296
1943-10-09,420810.30144
1943-10-10,420810.30144
1943-10-11,420810.30144
1943-10-12,420810.30144
1943-10-13,423256.87296
1943-10-14,435489.73056
1943-10-15,425703.44447999995
1943-10-16,425703.44447999995
1943-10-17,428150.016
1943-10-18,440382.8736
1943-10-19,452615.73120000004
1943-10-20,464848.5888
1943-10-21,464848.5888
1943-10-22,477081.4464
1943-10-23,477081.4464
1943-10-24,469741.73183999996
1943-10-25,452615.73120000004
1943-10-26,445276.01664
1943-10-27,442829.44512
1943-10-28,437936.30208000005
1943-10-29,433043.15904
1943-10-30,430596.58752
1943-10-31,435489.73056
1943-11-01,462402.01728000003
1943-11-02,452615.73120000004
1943-11-03,474634.87488
1943-11-04,489314.304
1943-11-05,501547.1616
1943-11-06,538245.7344
1943-11-07,592070.30784
1943-11-08,682593.4540799999
1943-11-09,660574.3104
1943-11-10,592070.30784
1943-11-11,572497.7356799999
1943-11-12,545585.44896
1943-11-13,533352.59136
1943-11-14,516226.59072
1943-11-15,503993.73312
1943-11-16,494207.44703999994
1943-11-17,489314.304
1943-11-18,484421.16096
1943-11-19,489314.304
1943-11-20,494207.44703999994
1943-11-21,489314.304
1943-11-22,481974.58943999995
1943-11-23,469741.73183999996
1943-11-24,467295.16031999997
1943-11-25,467295.16031999997
1943-11-26,467295.16031999997
1943-11-27,467295.16031999997
1943-11-28,462402.01728000003
1943-11-29,459955.44576
1943-11-30,455062.30272
1943-12-01,452615.73120000004
1943-12-02,455062.30272
1943-12-03,452615.73120000004
1943-12-04,452615.73120000004
1943-12-05,452615.73120000004
1943-12-06,477081.4464
1943-12-07,474634.87488
1943-12-08,467295.16031999997
1943-12-09,462402.01728000003
1943-12-10,455062.30272
1943-12-11,433043.15904
1943-12-12,462402.01728000003
1943-12-13,430596.58752
1943-12-14,437936.30208000005
1943-12-15,474634.87488
1943-12-16,469741.73183999996
1943-12-17,462402.01728000003
1943-12-18,455062.30272
1943-12-19,450169.15968000004
1943-12-20,437936.30208000005
1943-12-21,437936.30208000005
1943-12-22,418363.72992
1943-12-23,450169.15968000004
1943-12-24,462402.01728000003
1943-12-25,445276.01664
1943-12-26,467295.16031999997
1943-12-27,455062.30272
1943-12-28,435489.73056
1943-12-29,425703.44447999995
