date,discharge_m3d
2002-10-01,123307.40749565951
2002-10-02,130891.79168686079
2002-10-03,130891.79168686079
2002-10-04,126977.27081398273
2002-10-05,128200.55858675712
2002-10-06,122573.43483199488
2002-10-07,120860.83195011072
2002-10-08,130647.13413230593
2002-10-09,1083832.9666781183
2002-10-10,1328490.5212329985
2002-10-11,956611.0383095808
2002-10-12,778011.0234845184
2002-10-13,711953.4837547009
2002-10-14,699720.6060269569
2002-10-15,645895.9440248832
2002-10-16,609197.3108416512
2002-10-17,582284.9798406145
2002-10-18,560265.7999306752
2002-10-19,557819.2243851264
2002-10-20,557819.2243851264
2002-10-21,543139.7711118336
2002-10-22,533353.4689296384
2002-10-23,579838.4042950656
2002-10-24,709506.908209152
2002-10-25,1360296.003325133
2002-10-26,1218394.6216833023
2002-10-27,1052027.484585984
2002-10-28,968843.9160373248
2002-10-29,907679.5273986049
2002-10-30,861194.5920331776
2002-10-31,824495.9588499456
2002-11-01,800030.2033944576
2002-11-02,795137.05230336
2002-11-03,797583.6278489088
2002-11-04,787797.3256667136
2002-11-05,763331.5702112255
2002-11-06,731526.0881190913
2002-11-07,711953.4837547009
2002-11-08,694827.4549358592
2002-11-09,680148.0016625664
2002-11-10,677701.4261170176
2002-11-11,663021.9728437248
2002-11-12,638556.2173882368
2002-11-13,626323.3396604928
2002-11-14,621430.1885693952
2002-11-15,609197.3108416512
2002-11-16,596964.4331139072
2002-11-17,584731.5553861633
2002-11-18,570052.1021128704
2002-11-19,562712.375476224
2002-11-20,555372.6488395776
2002-11-21,538246.620020736
2002-11-22,533353.4689296384
2002-11-23,523567.16674744326
2002-11-24,521120.5912018944
2002-11-25,513780.864565248
2002-11-26,503994.5623830528
2002-11-27,496654.8357464064
2002-11-28,486868.53356421116
2002-11-29,481975.3824731136
2002-11-30,474635.6558364672
2002-12-01,472189.08029091835
2002-12-02,464849.353654272
2002-12-03,464849.353654272
2002-12-04,459956.2025631744
2002-12-05,452616.475926528
2002-12-06,440383.59819878405
2002-12-07,440383.59819878405
2002-12-08,440383.59819878405
2002-12-09,447723.3248354304
2002-12-10,459956.2025631744
2002-12-11,462402.7781087232
2002-12-12,457509.6270176256
2002-12-13,440383.59819878405
2002-12-14,430597.2960165888
2002-12-15,420810.99383439356
2002-12-16,418364.41828884487
2002-12-17,408578.1161066496
2002-12-18,408578.1161066496
2002-12-19,396345.2383789056
2002-12-20,386558.93619671045
2002-12-21,386558.93619671045
2002-12-22,386558.93619671045
2002-12-23,386558.93619671045
2002-12-24,381665.78510561277
2002-12-25,371879.48292341764
2002-12-26,366986.33183231996
2002-12-27,366986.33183231996
2002-12-28,366986.33183231996
2002-12-29,366986.33183231996
2002-12-30,366986.33183231996
2002-12-31,359646.6051956736
2003-01-01,354753.454104576
2003-01-02,344967.1519223808
2003-01-03,342520.576376832
2003-01-04,337627.4252857344
2003-01-05,325394.5475579904
2003-01-06,325394.5475579904
2003-01-07,325394.5475579904
2003-01-08,322947.9720124416
2003-01-09,315608.2453757952
2003-01-10,308268.5187391488
2003-01-11,308268.5187391488
2003-01-12,313161.6698302464
2003-01-13,315608.2453757952
2003-01-14,315608.2453757952
2003-01-15,308268.5187391488
2003-01-16,300928.7921025024
2003-01-17,298482.2165569536
2003-01-18,291142.48992030724
2003-01-19,288695.9143747584
2003-01-20,291142.48992030724
2003-01-21,288695.9143747584
2003-01-22,288695.9143747584
2003-01-23,281356.187738112
2003-01-24,281356.187738112
2003-01-25,281356.187738112
2003-01-26,281356.187738112
2003-01-27,281356.187738112
2003-01-28,281356.187738112
2003-01-29,281356.187738112
2003-01-30,281356.187738112
2003-01-31,271569.8855559168
2003-02-01,271569.8855559168
2003-02-02,271569.8855559168
2003-02-03,271569.8855559168
2003-02-04,264230.1589192704
2003-02-05,264230.1589192704
2003-02-06,261783.58337372163
2003-02-07,249550.7056459776
2003-02-08,254443.85673707523
2003-02-09,256890.432282624
2003-02-10,256890.432282624
2003-02-11,256890.432282624
2003-02-12,256890.432282624
2003-02-13,256890.432282624
2003-02-14,256890.432282624
2003-02-15,254443.85673707523
2003-02-16,243678.92433666048
2003-02-17,239764.4034637824
2003-02-18,239764.4034637824
2003-02-19,239764.4034637824
2003-02-20,242210.9790093312
2003-02-21,242210.9790093312
2003-02-22,249550.7056459776
2003-02-23,249550.7056459776
2003-02-24,243923.58189121538
2003-02-25,239764.4034637824
2003-02-26,239764.4034637824
2003-02-27,239764.4034637824
2003-02-28,239764.4034637824
2003-03-01,239764.4034637824
2003-03-02,239764.4034637824
2003-03-03,239764.4034637824
2003-03-04,239764.4034637824
2003-03-05,239764.4034637824
2003-03-06,234626.59481812993
2003-03-07,227042.21062692866
2003-03-08,224106.31997227005
2003-03-09,217745.22355384319
2003-03-10,217745.22355384319
2003-03-11,217745.22355384319
2003-03-12,217745.22355384319
2003-03-13,217745.22355384319
2003-03-14,217011.25089017858
2003-03-15,212607.4149081907
2003-03-16,210894.81202630655
2003-03-17,208692.89403531267
2003-03-18,203555.08538966018
2003-03-19,203555.08538966018
2003-03-20,203555.08538966018
2003-03-21,196949.3314166784
2003-03-22,203555.08538966018
2003-03-23,224840.29263593475
2003-03-24,236094.54014545918
2003-03-25,231935.36171802622
2003-03-26,225574.26529959936
2003-03-27,218968.51132661762
2003-03-28,212607.4149081907
2003-03-29,203799.74294421505
2003-03-30,203065.7702805504
2003-03-31,203065.7702805504
2003-04-01,205512.34582609922
2003-04-02,209916.18180808704
2003-04-03,210894.81202630655
2003-04-04,205267.6882715443
2003-04-05,203555.08538966018
2003-04-06,203555.08538966018
2003-04-07,197193.9889712333
2003-04-08,198661.93429856258
2003-04-09,192056.1803255808
2003-04-10,189609.604780032
2003-04-11,189609.604780032
2003-04-12,189609.604780032
2003-04-13,189609.604780032
2003-04-14,189609.604780032
2003-04-15,189609.604780032
2003-04-16,189609.604780032
2003-04-17,183737.82347071488
2003-04-18,183248.50836160514
2003-04-19,183248.50836160514
2003-04-20,179089.3299341722
2003-04-21,177132.06949773311
2003-04-22,177132.06949773311
2003-04-23,177132.06949773311
2003-04-24,177132.06949773311
2003-04-25,176153.43927951358
2003-04-26,171015.63063386112
2003-04-27,166367.1370973184
2003-04-28,165143.849324544
2003-04-29,165143.849324544
2003-04-30,165143.849324544
2003-05-01,165143.849324544
2003-05-02,165143.849324544
2003-05-03,164654.53421543422
2003-05-04,163920.5615517696
2003-05-05,161963.30111533057
2003-05-06,159272.06801522686
2003-05-07,159272.06801522686
2003-05-08,154623.57447868417
2003-05-09,152910.9715968
2003-05-10,147528.50539659263
2003-05-11,147528.50539659263
2003-05-12,147528.50539659263
2003-05-13,147528.50539659263
2003-05-14,147528.50539659263
2003-05-15,147528.50539659263
2003-05-16,145571.24496015362
2003-05-17,138965.49098717183
2003-05-18,136274.25788706818
2003-05-19,133338.3672324096
2003-05-20,130402.47657775105
2003-05-21,125998.6405957632
2003-05-22,125998.6405957632
2003-05-23,128689.87369586689
