date,discharge_m3d
2002-10-01,130647.13413230593
2002-10-02,105202.74845859839
2002-10-03,104468.77579493375
2002-10-04,97373.70671284223
2002-10-05,91991.24051263487
2002-10-06,105202.74845859839
2002-10-07,82449.59588499456
2002-10-08,74620.5541392384
2002-10-09,68014.80016625664
2002-10-10,60919.73108416512
2002-10-11,64589.594402488314
2002-10-12,76577.81457567745
2002-10-13,67770.14261170175
2002-10-14,91991.24051263487
2002-10-15,101532.8851402752
2002-10-16,83917.54121232383
2002-10-17,178110.69971595265
2002-10-18,230467.41639069698
2002-10-19,198172.6191894528
2002-10-20,565158.9510217728
2002-10-21,327841.1231035392
2002-10-22,209426.86669897728
2002-10-23,158048.78024245249
2002-10-24,132115.0794596352
2002-10-25,116946.31107723265
2002-10-26,127221.9283685376
2002-10-27,430597.2960165888
2002-10-28,327841.1231035392
2002-10-29,228510.15595425793
2002-10-30,174440.83639762946
2002-10-31,143858.64207826945
2002-11-01,136274.25788706818
2002-11-02,121839.46216833024
2002-11-03,93703.84339451903
2002-11-04,102022.20024938496
2002-11-05,106670.6937859277
2002-11-06,110095.899549696
2002-11-07,136274.25788706818
2002-11-08,124775.3528229888
2002-11-09,120126.8592864461
2002-11-10,187407.68678903807
2002-11-11,714400.0593002497
2002-11-12,562712.375476224
2002-11-13,755991.8435745792
2002-11-14,570052.1021128704
2002-11-15,371879.48292341764
2002-11-16,283802.7632836608
2002-11-17,234871.25237268483
2002-11-18,342520.576376832
2002-11-19,305821.9431936
2002-11-20,261783.58337372163
2002-11-21,296035.6410114048
2002-11-22,337627.4252857344
2002-11-23,1105852.1465880577
2002-11-24,1149890.506407936
2002-11-25,567605.5265673216
2002-11-26,420810.99383439356
2002-11-27,291142.48992030724
2002-11-28,254443.85673707523
2002-11-29,227531.52573603843
2002-11-30,220191.799099392
2002-12-01,203065.7702805504
2002-12-02,181046.5903706112
2002-12-03,146794.532732928
2002-12-04,134561.655005184
2002-12-05,124775.3528229888
2002-12-06,129668.5039140864
2002-12-07,132115.0794596352
2002-12-08,134561.655005184
2002-12-09,134561.655005184
2002-12-10,114989.0506407936
2002-12-11,117435.62618634242
2002-12-12,119882.2017318912
2002-12-13,122328.77727744001
2002-12-14,129668.5039140864
2002-12-15,146794.532732928
2002-12-16,144347.9571873792
2002-12-17,134561.655005184
2002-12-18,119882.2017318912
2002-12-19,114989.0506407936
2002-12-20,119882.2017318912
2002-12-21,322947.9720124416
2002-12-22,418364.41828884487
2002-12-23,286249.3388292096
2002-12-24,203065.7702805504
2002-12-25,185939.74146170882
2002-12-26,171260.288188416
2002-12-27,159027.410460672
2002-12-28,149241.1082784768
2002-12-29,144347.9571873792
2002-12-30,139454.8060962816
2002-12-31,146794.532732928
2003-01-01,171260.288188416
2003-01-02,200619.1947350016
2003-01-03,173706.8637339648
2003-01-04,156580.8349151232
2003-01-05,154134.2593695744
2003-01-06,151687.6838240256
2003-01-07,149241.1082784768
2003-01-08,146794.532732928
2003-01-09,149241.1082784768
2003-01-10,141901.3816418304
2003-01-11,127221.9283685376
2003-01-12,124775.3528229888
2003-01-13,122328.77727744001
2003-01-14,122328.77727744001
2003-01-15,122328.77727744001
2003-01-16,117435.62618634242
2003-01-17,114989.0506407936
2003-01-18,110095.899549696
2003-01-19,107649.3240041472
2003-01-20,102756.1729130496
2003-01-21,100309.5973675008
2003-01-22,100309.5973675008
2003-01-23,97863.021821952
2003-01-24,97863.021821952
2003-01-25,95416.44627640319
2003-01-26,95416.44627640319
2003-01-27,92969.87073085441
2003-01-28,92969.87073085441
2003-01-29,92969.87073085441
2003-01-30,90523.2951853056
2003-01-31,90523.2951853056
2003-02-01,88076.71963975679
2003-02-02,90523.2951853056
2003-02-03,92969.87073085441
2003-02-04,97863.021821952
2003-02-05,97863.021821952
2003-02-06,92969.87073085441
2003-02-07,88076.71963975679
2003-02-08,85630.144094208
2003-02-09,88076.71963975679
2003-02-10,92969.87073085441
2003-02-11,90523.2951853056
2003-02-12,85630.144094208
2003-02-13,83183.5685486592
2003-02-14,78290.4174575616
2003-02-15,78290.4174575616
2003-02-16,78290.4174575616
2003-02-17,78290.4174575616
2003-02-18,80736.9930031104
2003-02-19,83183.5685486592
2003-02-20,73397.266366464
2003-02-21,70950.6908209152
2003-02-22,70950.6908209152
2003-02-23,73397.266366464
2003-02-24,78290.4174575616
2003-02-25,85630.144094208
2003-02-26,83183.5685486592
2003-02-27,78290.4174575616
2003-02-28,80736.9930031104
2003-03-01,83183.5685486592
2003-03-02,85630.144094208
2003-03-03,80736.9930031104
2003-03-04,78290.4174575616
2003-03-05,78290.4174575616
2003-03-06,80736.9930031104
2003-03-07,73397.266366464
2003-03-08,73397.266366464
2003-03-09,73397.266366464
2003-03-10,70950.6908209152
2003-03-11,73397.266366464
2003-03-12,78290.4174575616
2003-03-13,73397.266366464
2003-03-14,70950.6908209152
2003-03-15,68504.11527536639
2003-03-16,63610.96418426881
2003-03-17,68504.11527536639
2003-03-18,80736.9930031104
2003-03-19,134561.655005184
2003-03-20,229978.1012815872
2003-03-21,293589.065465856
2003-03-22,636109.641842688
2003-03-23,844068.563214336
2003-03-24,782904.174575616
