date,discharge_m3d
2002-10-01,5749.45253203968
2002-10-02,5749.45253203968
2002-10-03,5651.589510217727
2002-10-04,5358.000444751872
2002-10-05,5358.000444751872
2002-10-06,5284.603178385408
2002-10-07,4991.014112919552
2002-10-08,5088.877134741504
2002-10-09,5211.205912018944
2002-10-10,5186.7401565634555
2002-10-11,4795.288069275648
2002-10-12,4599.562025631744
2002-10-13,4844.219580186624
2002-10-14,4966.548357464056
2002-10-15,4966.548357464056
2002-10-16,4966.548357464056
2002-10-17,4966.548357464056
2002-10-18,5260.137422929912
2002-10-19,5309.068933840896
2002-10-20,5358.000444751872
2002-10-21,5358.000444751872
2002-10-22,5358.000444751872
2002-10-23,6679.1512393482235
2002-10-24,9150.192540352513
2002-10-25,8244.959588499456
2002-10-26,7755.644479389696
2002-10-27,12110.548950466562
2002-10-28,11009.589954969599
2002-10-29,9615.041894006783
2002-10-30,9076.795273986048
2002-10-31,8538.548653965312
2002-11-01,8538.548653965312
2002-11-02,8538.548653965312
2002-11-03,8440.68563214336
2002-11-04,8098.165055766529
2002-11-05,7486.521169379328
2002-11-06,6434.493684793343
2002-11-07,6874.877282992128
2002-11-08,8073.699300311039
2002-11-09,13921.014854172672
2002-11-10,7339.726636646401
2002-11-11,4893.1510910976
2002-11-12,6850.41152753664
2002-11-13,8563.014409420799
2002-11-14,9957.562470383617
2002-11-15,4893.1510910976
2002-11-16,2935.89065465856
2002-11-17,9052.32951853056
2002-11-18,7437.589658468351
2002-11-19,6605.75397298176
2002-11-20,7266.329370279936
2002-11-21,8147.096566677504
2002-11-22,7731.178723934208
2002-11-23,8465.151387598848
2002-11-24,3180.5482092134403
2002-11-25,3180.5482092134403
2002-11-26,2935.89065465856
2002-11-27,3425.20576376832
2002-11-28,3425.20576376832
2002-11-29,7829.04174575616
2002-11-30,6116.438863872
2002-12-01,8807.67196397568
2002-12-02,6116.438863872
2002-12-03,8563.014409420799
2002-12-04,6850.41152753664
2002-12-05,3669.8633183232005
2002-12-06,4159.17842743296
2002-12-07,4648.49353654272
2002-12-08,4159.17842743296
2002-12-09,4403.83598198784
2002-12-10,4648.49353654272
2002-12-11,5382.46620020736
2002-12-12,4893.1510910976
2002-12-13,4403.83598198784
2002-12-14,4159.17842743296
2002-12-15,5137.808645652481
2002-12-16,6385.5621738823675
2002-12-17,6458.959440248833
2002-12-18,7584.3841912012795
2002-12-19,6116.438863872
2002-12-20,5137.808645652481
2002-12-21,3914.52087287808
2002-12-22,2691.23310010368
2002-12-23,2935.89065465856
2002-12-24,1957.26043643904
2002-12-25,2691.23310010368
2002-12-26,3914.52087287808
2002-12-27,3914.52087287808
2002-12-28,5627.1237547622395
2002-12-29,8563.014409420799
2002-12-30,7584.3841912012795
2002-12-31,9786.3021821952
2003-01-01,5871.78130931712
2003-01-02,5382.46620020736
2003-01-03,5137.808645652481
2003-01-04,5798.384042950655
2003-01-05,6165.370374782976
2003-01-06,6752.548505714688
2003-01-07,8416.219876687872
2003-01-08,8073.699300311039
2003-01-09,6361.0964184268805
2003-01-10,5627.1237547622395
2003-01-11,6850.41152753664
2003-01-12,7339.726636646401
2003-01-13,10275.617291304961
2003-01-14,5627.1237547622395
2003-01-15,7633.315702112256
2003-01-16,9786.3021821952
2003-01-17,12232.877727744
2003-01-18,12232.877727744
2003-01-19,9786.3021821952
2003-01-20,6312.164907515905
2003-01-21,6630.219728437248
2003-01-22,6483.42519570432
2003-01-23,6605.75397298176
2003-01-24,6630.219728437248
2003-01-25,4403.83598198784
2003-01-26,5137.808645652481
2003-01-27,7070.603326636032
2003-01-28,6630.219728437248
2003-01-29,7241.863614824449
2003-01-30,7046.137571180544
2003-01-31,7266.329370279936
2003-02-01,7388.658147557376
2003-02-02,7510.986924834816
2003-02-03,6361.0964184268805
2003-02-04,3914.52087287808
2003-02-05,2935.89065465856
2003-02-06,2446.5755455488
2003-02-07,1467.94532732928
2003-02-08,1957.26043643904
2003-02-09,2446.5755455488
2003-02-10,3180.5482092134403
2003-02-11,4403.83598198784
2003-02-12,5382.46620020736
2003-02-13,9566.110383095807
2003-02-14,11009.589954969599
2003-02-15,10324.548802215935
2003-02-16,7095.069082091521
2003-02-17,9786.3021821952
2003-02-18,10079.891247661057
2003-02-19,6850.41152753664
2003-02-20,9443.781605818367
2003-02-21,8049.233544855551
2003-02-22,8807.67196397568
2003-02-23,6850.41152753664
2003-02-24,4893.1510910976
2003-02-25,4403.83598198784
2003-02-26,5627.1237547622395
2003-02-27,5627.1237547622395
2003-02-28,7584.3841912012795
2003-03-01,7829.04174575616
2003-03-02,7829.04174575616
2003-03-03,7339.726636646401
2003-03-04,7829.04174575616
2003-03-05,6850.41152753664
2003-03-06,7339.726636646401
2003-03-07,9223.589806718976
2003-03-08,8636.411675787263
2003-03-09,9590.576138551296
2003-03-10,10838.329666781176
2003-03-11,12159.480461377536
2003-03-12,14288.001186004993
2003-03-13,14777.316295114751
2003-03-14,21847.91962175078
2003-03-15,26912.3310010368
2003-03-16,26178.35833737216
2003-03-17,22679.755307237378
2003-03-18,20257.64551714406
2003-03-19,16759.04248700928
2003-03-20,16636.71370973184
2003-03-21,18789.700189814786
2003-03-22,17835.535727050752
2003-03-23,20404.440049876994
2003-03-24,24245.563656388607
2003-03-25,27156.988555591677
2003-03-26,29358.906546585604
2003-03-27,34741.37274679296
2003-03-28,24465.755455488
2003-03-29,26912.3310010368
2003-03-30,29358.906546585604
2003-03-31,24955.07056459776
2003-04-01,29358.906546585604
2003-04-02,37921.9209560064
2003-04-03,42325.75693799424
2003-04-04,38655.89361967104
2003-04-05,35720.00296501248
2003-04-06,34252.057637683196
2003-04-07,29358.906546585604
2003-04-08,28380.276328366082
2003-04-09,29358.906546585604
2003-04-10,32050.13964668928
2003-04-11,38900.55117422592
2003-04-12,43793.70226532352
2003-04-13,47708.223138201596
2003-04-14,53335.34689296385
2003-04-15,59451.785756835845
2003-04-16,54069.319556628485
2003-04-17,60675.07352961024
2003-04-18,61653.70374782976
2003-04-19,60185.75842050049
2003-04-20,57005.21021128705
2003-04-21,56271.2375476224
2003-04-22,58717.81309317121
2003-04-23,61898.36130238465
2003-04-24,56760.552656732165
2003-04-25,57983.840429506556
2003-04-26,60919.73108416512
2003-04-27,64100.27929337856
2003-04-28,66302.19728437248
2003-04-29,68993.43038447616
2003-04-30,70950.6908209152
2003-05-01,69238.08793903104
2003-05-02,66302.19728437248
2003-05-03,63610.96418426881
2003-05-04,62387.6764114944
2003-05-05,59451.785756835845
2003-05-06,55781.92243851264
2003-05-07,52356.71667474432
2003-05-08,49420.826020085755
2003-05-09,46729.59291998209
2003-05-10,45016.990038097916
2003-05-11,43549.04471076864
2003-05-12,42081.09938343935
2003-05-13,40613.154056110085
2003-05-14,41102.469165219845
2003-05-15,43549.04471076864
2003-05-16,45995.62025631744
2003-05-17,46240.27781087232
2003-05-18,45995.62025631744
2003-05-19,47218.90802909184
2003-05-20,51622.74401107969
2003-05-21,45995.62025631744
2003-05-22,41347.12671977472
2003-05-23,37921.9209560064
2003-05-24,36209.31807412224
2003-05-25,36453.975628677115
2003-05-26,34007.40008312832
2003-05-27,31316.16698302464
2003-05-28,28869.591437475843
2003-05-29,34007.40008312832
2003-05-30,27890.96121925632
2003-05-31,26423.01589192704
2003-06-01,25444.385673707522
2003-06-02,23169.070416347135
2003-06-03,21480.933289918463
2003-06-04,21065.01544717516
2003-06-05,20575.70033806541
2003-06-06,20159.782495322113
2003-06-07,18789.700189814786
2003-06-08,18275.919325249535
2003-06-09,16783.50824246477
2003-06-10,15560.220469690368
2003-06-11,15340.028670590975
2003-06-12,14801.78205057024
2003-06-13,15315.562915135488
2003-06-14,15021.973849669632
2003-06-15,15070.905360580608
2003-06-16,17150.49457429709
2003-06-17,16196.330111533058
2003-06-18,16832.439753375744
2003-06-19,19474.741342568446
2003-06-20,18324.850836160513
2003-06-21,16318.658888810496
2003-06-22,14214.603919638528
2003-06-23,12575.398304120832
2003-06-24,11890.357151367169
2003-06-25,11376.576286801921
2003-06-26,11498.90506407936
2003-06-27,11180.850243158016
2003-06-28,10202.220024938497
2003-06-29,10373.480313126911
2003-06-30,10960.658444058625
2003-07-01,10838.329666781176
2003-07-02,10300.083046760448
2003-07-03,9394.850094907393
2003-07-04,9076.795273986048
2003-07-05,9052.32951853056
2003-07-06,9027.863763075073
2003-07-07,9419.31585036288
2003-07-08,8489.617143054336
2003-07-09,7682.247213023232
