tmp.site,tmp.area,Lb,Wb,X1,ALPHA,BETA,Ks,Kb,Kz,POR,Qthresh,Rs,Rb1,Rb2,Prec,Frac4Rise,RecessionRMSE,SDRError
01134500,195000000.0,29564.89149282921,518.5359808684186,1.2856846648030942,0.06309992510527851,9.934432147172036,20.31089834424711,7.763028861560691,0.07330373910801406,0.015198931870671244,89769.7499172766,-0.34443531189634247,-0.0664746497102641,-0.07816841670972954,3615.0600261029067,0.05,0.5879304156277599,5.055569826439843e-06
01134500,195000000.0,54339.39623803481,392.9207961961879,2.9466975744840864,0.037687830784603665,6.659178936838425,63.91532153717476,7.361282125389771,0.9225981743534926,0.017777677822917046,89769.7499172766,-0.34443531189634247,-0.0664746497102641,-0.07816841670972954,3615.0600261029067,0.05,0.4233704754140822,0.5836410227698997
01134500,195000000.0,33647.781561368036,482.5213511565311,2.012375212616413,0.07157904374468901,7.337079590288384,39.62346912253043,1.9296166453982118,0.28432056480720896,0.015721950465064027,89769.7499172766,-0.34443531189634247,-0.0664746497102641,-0.07816841670972954,3615.0600261029067,0.05,0.42542911595338867,0.5597196414731335
01134500,195000000.0,51883.22926101351,369.2107134594539,2.8944289474394385,0.03827535812488883,6.891132697971893,57.72122400874643,7.613103168394216,4.088164790236959,0.01844794078676686,89769.7499172766,-0.34443531189634247,-0.0664746497102641,-0.07816841670972954,3615.0600261029067,0.05,0.42807528343074686,0.5455120764558538
01134500,195000000.0,50579.711219941775,368.2566773104475,1.9907426494138694,0.03194432407170189,5.611051303008528,58.09572045869964,7.442304133771076,2.4247721035535226,0.01833106370592595,89769.7499172766,-0.34443531189634247,-0.0664746497102641,-0.07816841670972954,3615.0600261029067,0.05,0.4281311477271088,0.506650114187236
01134500,195000000.0,51919.90957071572,369.2307525742451,3.8565294101552094,0.03827123571511543,5.699427138503646,38.849471538379646,12.71553055115802,4.112549439964181,0.015177405674561191,89769.7499172766,-0.34443531189634247,-0.0664746497102641,-0.07816841670972954,3615.0600261029067,0.05,0.4319964197499867,0.4618880739795391
01134500,195000000.0,43369.335308897374,587.3969148596864,1.6593570455113684,0.03743290246580993,9.076772578557843,69.44057633168856,6.898985188565027,0.7385258119255902,0.016011761031472265,89769.7499172766,-0.34443531189634247,-0.0664746497102641,-0.07816841670972954,3615.0600261029067,0.05,0.44884122013943173,0.3220588830144383
01134500,195000000.0,44498.397373402244,587.6300349522719,1.645153716936814,0.0365425939935685,5.639150092483648,71.14705700081521,12.727606268136821,0.4451715990610177,0.01591118338726706,89769.7499172766,-0.34443531189634247,-0.0664746497102641,-0.07816841670972954,3615.0600261029067,0.05,0.4525924536055831,0.306404093237728
01134500,195000000.0,54330.25651840134,392.9207961961879,2.9217046877956916,0.03844024915453213,6.669622964202925,63.91532153717476,7.361471114231464,0.9979731633518385,0.017780396049451554,89769.7499172766,-0.34443531189634247,-0.0664746497102641,-0.07816841670972954,3615.0600261029067,0.05,0.4250627075063032,0.5811803723518235
01134500,195000000.0,43369.335308897374,587.3969148596864,1.6593570455113684,0.03743290246580993,9.035504606900467,69.44057633168856,6.898985188565027,0.7385258119255902,0.016011761031472265,89769.7499172766,-0.34443531189634247,-0.0664746497102641,-0.07816841670972954,3615.0600261029067,0.05,0.4481867666692019,0.32319395531872563
